pl_name,hostname,sy_snum,pl_rade,pl_bmassj,st_spectype,sy_dist,ra,dec
"OGLE-2014-BLG-1722L c","OGLE-2014-BLG-1722L",1,,0.26300000,,6400.00000000,268.7523800,-31.4690552
"GJ 1132 c","GJ 1132",1,,0.00915588,"M4.5 V",12.61300000,153.7090696,-47.1549358
"HAT-P-11 c","HAT-P-11",1,,2.68000000,,37.76470000,297.7101763,48.0818635
"K2-241 b","K2-241",1,2.55000000,,,149.46400000,181.2386829,-6.8052985
"K2-242 b","K2-242",1,2.54000000,,,109.23700000,179.8358421,-6.5178542
"K2-158 c","K2-158",1,1.28000000,,,197.29900000,179.9397081,-5.7216879
"K2-243 b","K2-243",1,2.17000000,,,266.86400000,181.1211419,-4.8991358
"K2-243 c","K2-243",1,2.01000000,,,266.86400000,181.1211419,-4.8991358
"K2-245 b","K2-245",1,4.34000000,,,456.06400000,185.1815630,-1.5909138
"K2-246 b","K2-246",1,3.49000000,,,703.61600000,181.6296115,-1.1606000
"K2-247 b","K2-247",1,2.12000000,,,258.11300000,188.8935189,-10.0692793
"K2-247 c","K2-247",1,2.19000000,,,258.11300000,188.8935189,-10.0692793
"K2-248 b","K2-248",1,2.57000000,,,406.25400000,182.8173343,-9.4141696
"K2-249 b","K2-249",1,2.79000000,,,521.71600000,183.3667344,-8.9952309
"K2-250 b","K2-250",1,2.71257333,,,414.70800000,185.0315429,-8.9757427
"K2-251 b","K2-251",1,2.35000000,,,147.03000000,190.6892403,-8.5359826
"K2-252 b","K2-252",1,1.74000000,,,228.83900000,182.3663818,-8.3096141
"K2-253 b","K2-253",1,12.67000000,,,876.56500000,186.0853062,-6.3789537
"K2-254 b","K2-254",1,1.63000000,,,227.77500000,185.5507926,-4.7172908
"K2-254 c","K2-254",1,2.19000000,,,227.77500000,185.5507926,-4.7172908
"K2-255 b","K2-255",1,2.90000000,,,191.60800000,189.9128532,-3.3705631
"K2-257 b","K2-257",1,0.83000000,,,64.00650000,188.2782840,-1.9532879
"K2-258 b","K2-258",1,3.00000000,,,661.87300000,187.6314027,-1.1609171
"IC 4651 9122 b","IC 4651 9122",1,,6.30000000,,859.32400000,261.2086139,-49.9489317
"Kepler-128 b","Kepler-128",1,1.42100000,0.01192467,,396.37900000,282.4922622,43.9802442
"CoRoT-20 c","CoRoT-20",1,,17.00000000,,844.06100000,97.7204249,0.2268931
"K2-260 b","K2-260",1,18.41635529,1.72000000,,663.83400000,76.8673317,16.8676948
"K2-261 b","K2-261",1,9.26982704,0.21700000,,213.28300000,163.0323119,0.4931670
"WASP-174 b","WASP-174",1,16.10730527,0.33000000,,410.14900000,195.7940145,-41.3848617
"Wolf 503 b","Wolf 503",1,2.04300000,0.01969616,"K3.5 V",44.52600000,206.8461979,-6.1393369
"K2-264 b","K2-264",1,2.23100000,,,185.60500000,131.3583524,19.6984010
"K2-264 c","K2-264",1,2.66800000,,,185.60500000,131.3583524,19.6984010
"HD 55696 b","HD 55696",1,,3.87000000,"G0 V",77.96930000,108.0622029,-38.1746390
"HD 98736 b","HD 98736",2,,2.33000000,,32.44590000,170.4549045,18.1896082
"HD 148164 b","HD 148164",1,,1.23000000,"F8",77.19710000,246.4351678,11.9190729
"HD 148164 c","HD 148164",1,,5.16000000,"F8",77.19710000,246.4351678,11.9190729
"HD 211810 b","HD 211810",1,,0.67000000,"G5",64.63530000,334.5286724,61.1349912
"HD 75784 c","HD 75784",1,,5.64000000,,85.43210000,133.0992289,13.2330548
"NGTS-2 b","NGTS-2",1,17.87835500,0.74000000,"F5 V",356.39100000,215.1227617,-31.2020698
"EPIC 246851721 b","EPIC 246851721",2,11.78065900,3.00000000,"F5 V",372.63200000,78.9198197,16.2786991
"K2-266 b","K2-266",2,3.30000000,0.03545236,,77.55860000,157.9356855,0.9372782
"K2-266 c","K2-266",2,0.70500000,0.00091285,,77.55860000,157.9356855,0.9372782
"K2-266 d","K2-266",2,2.93000000,0.02800239,,77.55860000,157.9356855,0.9372782
"K2-266 e","K2-266",2,2.73000000,0.04499261,,77.55860000,157.9356855,0.9372782
"K2-268 b","K2-268",1,1.50000000,,,327.78300000,133.7094899,11.8482712
"WASP-144 b","WASP-144",1,9.52765000,0.44000000,"K2 V",355.51300000,320.7628761,-40.0484393
"WASP-145 A b","WASP-145 A",2,10.08810000,0.89000000,"K2 V",91.29900000,322.2537644,-58.8361466
"WASP-158 b","WASP-158",1,11.99363000,2.79000000,"F6 V",524.99300000,4.1463468,-10.9764226
"WASP-159 b","WASP-159",1,15.46842000,0.55000000,"F9",715.38300000,68.1364792,-38.9682973
"WASP-162 b","WASP-162",1,11.20900000,5.20000000,"K0",310.84100000,168.2929079,-17.6577794
"WASP-168 b","WASP-168",2,16.81350000,0.42000000,"F9 V",303.94100000,96.7446427,-46.8213635
"WASP-172 b","WASP-172",1,17.59813000,0.47000000,"F1 V",538.11000000,199.4337420,-47.2375748
"WASP-173 A b","WASP-173 A",2,13.45080000,3.69000000,"G3",232.98000000,354.1686959,-34.6113042
"OGLE-2011-BLG-0173L b","OGLE-2011-BLG-0173L",1,,0.19000000,,6100.00000000,269.3157350,-28.2338619
"WASP-147 b","WASP-147",1,12.49803500,0.27500000,"G4",436.09800000,359.1915117,-22.1532316
"WASP-160 B b","WASP-160 B",2,12.21781000,0.27800000,"K0 V",288.32600000,87.6795610,-27.6233218
"WASP-164 b","WASP-164",1,12.64375200,2.13000000,"G2 V",327.50600000,344.8735878,-60.4478194
"WASP-165 b","WASP-165",1,14.12334000,0.65800000,"G6",602.23600000,357.5806472,-17.0775947
"OGLE-2013-BLG-1761L b","OGLE-2013-BLG-1761L",1,,2.70000000,,6900.00000000,268.4094850,-28.8952713
"GJ 96 b","GJ 96",1,,0.06185697,"M2",11.93150000,35.5624031,47.8802075
"KMT-2016-BLG-1820L b","KMT-2016-BLG-1820L",1,,4.57000000,,6260.00000000,268.7647400,-29.5169201
"KMT-2016-BLG-2142L b","KMT-2016-BLG-2142L",1,,15.49000000,,7010.00000000,268.1120000,-29.3845615
"Kepler-777 b","Kepler-777",1,1.47000000,,,443.10600000,282.7241098,44.3465098
"MOA-2015-BLG-337L b","MOA-2015-BLG-337L",1,,0.10600000,,7100.00000000,271.9487000,-28.1702785
"KMT-2016-BLG-1397L b","KMT-2016-BLG-1397L",1,,7.00000000,,6600.00000000,272.6646120,-24.8577385
"pi Men c","HD 39091",1,2.01890000,,,18.27020000,84.2992798,-80.4646041
"K2-284 b","K2-284",1,2.78000000,,,107.27200000,79.1407971,20.2549034
"MOA-2016-BLG-319L b","MOA-2016-BLG-319L",1,,0.62000000,,6800.00000000,268.7422180,-29.7504635
"MOA-2011-BLG-291L b","MOA-2011-BLG-291L",1,,0.05700000,,4400.00000000,268.8678890,-29.1706657
"GJ 317 c","GJ 317",1,,1.43000000,"M3.5 V",15.19680000,130.2445254,-23.4528090
"HD 33142 c","HD 33142",1,,0.89000000,"K0 III",121.37500000,76.8980559,-13.9863374
"HD 95089 c","HD 95089",1,,3.45000000,,136.95700000,164.6987480,1.7290087
"HD 99706 c","HD 99706",1,,5.69000000,,146.60000000,172.1261621,43.9662025
"Kepler-778 b","Kepler-778",1,1.68000000,,,938.16800000,287.4774867,44.2374702
"HD 102329 c","HD 102329",1,,1.52000000,,217.10700000,176.6941567,3.4742143
"HD 116029 c","HD 116029",2,,1.27000000,,123.24500000,200.1646905,24.6484725
"HD 156279 c","HD 156279",1,,9.75000000,,36.19450000,258.0966686,63.3527828
"HD 114783 c","HD 114783",1,,1.90000000,"K1 V",21.06280000,198.1818436,-2.2649921
"HATS-59 b","HATS-59",1,12.62133400,0.80600000,,642.88400000,170.3243250,-22.3881770
"HATS-59 c","HATS-59",1,,12.70000000,,642.88400000,170.3243250,-22.3881770
"GJ 3779 b","GJ 3779",1,,0.02517069,"M4.0 V",13.74300000,200.7335358,24.4639425
"GJ 1265 b","GJ 1265",1,,0.02328289,"M4.5 V",10.25250000,333.4324675,-17.6870623
"LHS 1140 c","LHS 1140",1,1.27200000,0.00600953,"M4.5 V",14.98610000,11.2486320,-15.2741085
"CoRoT-21 b","CoRoT-21",1,14.57170000,2.26000000,"F8 IV",,101.0526207,-0.2991544
"HD 13167 b","HD 13167",1,,3.31000000,,148.93400000,32.0576350,-24.6955750
"HD 14787 b","HD 14787",1,,1.12100000,,119.13700000,35.8085099,10.8367972
"HD 18015 b","HD 18015",1,,3.18000000,,123.80100000,43.3636339,-8.8480392
