pl_name,hostname,sy_snum,pl_rade,pl_bmassj,st_spectype,sy_dist
"Kepler-82 e","Kepler-82",1,2.47000000,,,904.32600000
"TOI-5398 b","TOI-5398",1,10.30000000,0.18469085,"G V",130.85500000
"TOI-5398 c","TOI-5398",1,3.52000000,0.03712695,"G V",130.85500000
"Kepler-247 b","Kepler-247",1,1.64000000,,,663.71100000
"Kepler-83 c","Kepler-83",2,2.36000000,,,400.40900000
"Kepler-249 d","Kepler-249",1,1.57000000,,,190.40100000
"TOI-5422 b","TOI-5422",1,9.10169233,28.00000000,,346.14100000
"KOI-94 d","KOI-94",2,11.27000000,0.33400000,,477.05200000
"Kepler-251 b","Kepler-251",1,1.33000000,,,924.62500000
"Kepler-254 d","Kepler-254",1,2.50000000,,,1389.48000000
"Kepler-31 d","Kepler-31",1,3.90000000,6.80000000,,1664.64000000
"Kepler-32 d","Kepler-32",1,2.70000000,,,323.84700000
"Kepler-42 d","Kepler-42",1,0.57000000,,"M",40.05950000
"Kepler-286 d","Kepler-286",1,1.33000000,,,1226.85000000
"TOI-5486 b","TOI-5486",1,3.96824928,,,89.68110000
"TOI-5489 b","TOI-5489",1,1.40000000,,,45.09070000
"Kepler-296 b","Kepler-296",2,1.61000000,,,
"Kepler-1731 b","Kepler-1731",1,2.93295657,,,169.94800000
"TOI-5502 b","TOI-5502",1,4.12873780,,,248.65400000
"TOI-5515 b","TOI-5515",1,2.65362762,,,135.45900000
"TOI-5532 b","TOI-5532",1,2.52763693,,,90.99850000
"Kepler-63 b","Kepler-63",1,6.11000000,0.37800000,,194.03300000
"Kepler-253 b","Kepler-253",1,1.63000000,,,838.59500000
"TOI-5542 b","TOI-5542",1,11.30986153,1.32000000,"G3 V",348.84900000
"Kepler-603 c","Kepler-603",1,6.50000000,,,1539.63000000
"TOI-5573 b","TOI-5573",1,9.75000000,0.35000000,,186.56200000
"KOI-351 g","KOI-351",1,,0.04719528,,848.25400000
"Kepler-11 b","Kepler-11",1,1.80000000,0.00600000,,646.34600000
